report id,ReCDroid_1 Result,ReCDroid_1 Total Runtime,ReCDroid_1 NLP Runtime,ReCDroid_1 Search Runtime,Yakusu_1 Result,Yakusu_1 Total Runtime,Yakusu_1 NLP Runtime,Yakusu_1 Search Runtime,Reprobot_1 Result,ReproBot_1 Total Runtime,ReproBot_1 NLP Runtime,ReproBot_1 Search Runtime,ReproBot_2 Result,ReproBot_2 Total Runtime,ReproBot_2 NLP Runtime,ReproBot_2 Search Runtime,ReproBot_3 Result,ReproBot_3 Total Runtime,ReproBot_3 NLP Runtime,ReproBot_3 Search Runtime,# Success,VariantB Result,VariantB Total Runtime,VariantA_1 Result,VariantA_1 Total Runtime,VariantA_2 Result,VariantA_2 Total Runtime,VariantA_3 Result,VariantA_3 Total Runtime,# Success
recdroid-28,Failed Timeout,3600,3.3,3596.7,Failed Timeout,3600,668.8,2931.2,Success,62.3,28.3,34,Success,544.6,27.5,517.1,Success,126.1,31.1,95,3,Success,257.1,Success,612.3,Success,174.7,Success,266.8,3
recdroid-29,Success,423.5,3.1,420.4,Failed Timeout,3600,651.7,2948.3,Success,84,29.8,54.2,Success,43.8,25.8,18,Success,71.1,25.8,45.3,3,Success,140.2,Success,660.5,Success,576.3,Success,23.2,3
recdroid-3,Success,188.3,3.4,184.8,Failed Timeout,3600,267.8,3332.2,Success,499.3,30,469.2,Success,1748.9,27.6,1721.3,Success,564.5,31,533.5,3,Success,183.5,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
recdroid-30,Success,141.7,3.3,138.4,Failed Timeout,3600,495.4,3104.6,Success,1201.9,29.7,1172.2,Success,895.5,29.7,865.7,Failed Timeout,3600,28.4,3571.6,2,Success,162.8,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
recdroid-31,Success,61,3.1,57.9,Success,403.9,321.8,82.1,Success,31,26.5,4.5,Success,34.3,30,4.4,Success,34.9,29.2,5.7,3,Success,57.2,Success,10.8,Success,6.8,Success,4.3,3
recdroid-33,False Reproduction,55.2,3.4,51.8,Yakusu could not run on the app,,,,Success,35.6,26.3,9.3,Success,63.7,27.4,36.3,Success,55.5,30.6,24.9,3,False Reproduction,51.6,Success,22.2,False Reproduction,12.4,Success,6.8,2
recdroid-34,Failed Timeout,3600,3.2,3596.8,Failed Timeout,3600,453.5,3146.5,Failed Timeout,3600,25.6,3574.4,Failed Timeout,3600,27.9,3572.1,Failed Timeout,3600,35.2,3564.8,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
recdroid-35,Failed Timeout,3600,6,3594,Failed Timeout,3600,440.8,3159.2,Failed Timeout,3600,32.1,3567.9,Failed Timeout,3600,25.3,3574.7,Failed Timeout,3600,27.8,3572.2,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
recdroid-38,Failed Timeout,3600,5,3595,Failed Timeout,3600,341.7,3258.3,Success,533.1,27.7,505.4,Success,669,25.2,643.8,Success,188.3,28.6,159.7,3,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
recdroid-39,Failed Timeout,3600,3,3597,Yakusu could not run on the app,,,,Failed Timeout,3600,28.1,3571.9,Failed Timeout,3600,27.5,3572.5,Failed Timeout,3600,32,3568,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
recdroid-42,Failed Timeout,3600,5.1,3594.9,Failed Timeout,3600,432.8,3167.2,Success,893.7,32.3,861.5,Success,444,31.3,412.7,Success,734.1,32.8,701.3,3,Failed Timeout,3600,Success,314.5,Success,329.6,Success,138.8,3
recdroid-45,Failed Timeout,3600,5.4,3594.6,Failed Timeout,3600,279.9,3320.1,Failed Timeout,3600,33.3,3566.7,Failed Timeout,3600,27.7,3572.3,Failed Timeout,3600,34.7,3565.3,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
recdroid-49,Failed Timeout,3600,3.1,3596.9,Failed Timeout,3600,420.3,3179.7,Success,113.2,28.3,84.9,Success,72.3,27.2,45.1,Success,286.7,27.3,259.5,3,Failed Timeout,3600,False Reproduction,2004.5,Success,917.1,Failed Timeout,3600,1
recdroid-5,Success,1148.2,3.3,1144.9,Failed Timeout,3600,319.6,3280.4,Success,1032.6,44.7,987.9,Success,1488.7,28.9,1459.8,Success,98.6,36.6,62,3,Success,1134.9,Success,1913.4,Success,1751.4,Success,1438.2,3
recdroid-52,Success,18.6,3,15.7,Failed Timeout,3600,578.1,3021.9,Success,38.1,28,10.1,Success,38.1,27.9,10.2,Success,37.4,27.3,10.1,3,Success,15.8,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
recdroid-53,Success,83.9,3.2,80.7,Failed Timeout,3600,519.6,3080.4,Success,109,24.5,84.5,Success,526.8,26.1,500.6,Success,37.5,26.9,10.6,3,Success,81.6,Success,1855.9,Failed Timeout,3600,Success,1323,2
recdroid-55,Success,78.6,3.1,75.5,Success,760.7,654.4,106.3,Success,67.8,24.7,43.1,Success,35.6,25.6,10,Success,52,28.4,23.6,3,Success,83.9,Success,22.8,Success,28.4,Success,7.1,3
recdroid-56,Success,215.5,4.3,211.1,Failed Timeout,3600,280.4,3319.6,Success,56.5,28.4,28.1,Success,523.9,28.7,495.3,Success,39.5,28.3,11.2,3,Success,209.5,Success,215.3,Success,118.1,Success,62.8,3
recdroid-57,Success,189.4,3,186.4,Failed Timeout,3600,533.4,3066.6,Success,117.5,29.5,88,Success,50.9,30.7,20.2,Success,990,26.2,963.8,3,Success,183.9,Success,37.4,Success,206.1,Success,148,3
recdroid-58,Success,355.4,5.5,350,Failed Timeout,3600,263.5,3336.5,Success,84.9,29.7,55.2,Success,40.3,31.5,8.8,Success,149.3,32,117.3,3,Failed Timeout,3600,Success,238.1,Success,68.3,Success,352.5,3
recdroid-59,Success,132.2,5.2,127,Failed Timeout,3600,595,3005,Success,89.3,27.8,61.5,Success,170.5,26.5,144,Success,660.9,26.1,634.7,3,Success,121.8,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
recdroid-60,Success,481.7,4.7,477,Failed Timeout,3600,483.4,3116.6,Success,34.7,25.5,9.2,Success,36.3,27.2,9.1,Success,36.6,27.4,9.1,3,Success,468.6,Failed Timeout,3600,Success,1310.1,Failed Timeout,3600,1
recdroid-61,Success,278.2,3.2,275.1,Failed Timeout,3600,483.3,3116.7,Success,741.7,29.7,712,Success,1229.7,26.4,1203.3,Success,233.5,37.6,195.9,3,Success,281.1,Success,1228,Success,866,Success,36.8,3
recdroid-62,Failed Timeout,3600,9.4,3590.6,Failed Timeout,3600,267,3333,Success,43.9,28.7,15.2,Success,71.3,31.7,39.6,Success,272.4,29.3,243.1,3,Failed Timeout,3600,Success,105.9,Success,92.7,Success,172.4,3
recdroid-64,Failed Timeout,3600,3.4,3596.6,Failed to Generate Ontology,,,,Failed Timeout,3600,27,3573,Failed Timeout,3600,28.9,3571.1,Failed Timeout,3600,36.3,3563.7,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
recdroid-7,Success,66.8,4.1,62.7,Failed Timeout,3600,334.9,3265.1,Success,162.6,25.1,137.4,Success,395.4,27.8,367.6,Success,93.2,29.8,63.4,3,Success,61.6,Success,69.2,Success,1038.6,Success,123.8,3
recdroid-8,Success,1486.3,4.8,1481.5,Failed Timeout,3600,539.8,3060.2,Success,775.2,27.8,747.4,Success,524,29.5,494.5,Success,1239.1,31.5,1207.7,3,Success,1416,Failed Timeout,3600,Success,83.2,Failed Timeout,3600,1
recdroid-9,Success,114.5,4.2,110.3,Failed Timeout,3600,264.7,3335.3,Success,58.6,27.2,31.4,Success,87.6,27.4,60.2,Success,60.2,24.9,35.3,3,Success,109.4,Success,260.2,Success,211.6,Success,152.5,3
saner2022-1002,Failed Timeout,3600,3.1,3596.9,Failed Timeout,3600,681.1,2918.9,Failed Timeout,3600,27.5,3572.5,Failed Timeout,3600,28.8,3571.2,Failed Timeout,3600,26.8,3573.2,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
